,ID,EP1,EP2,Bandwidth,PacketsFlowing(1Kb),DayOfTheWeek,TimeHour,LinkWeight
0,0,0,1,70,13,Sunday,0,2.692
1,1,0,2,130,22,Sunday,0,2.955
2,2,0,3,80,17,Sunday,0,2.353
3,3,1,2,110,20,Sunday,0,2.750
4,4,1,7,50,18,Sunday,0,1.389
5,5,2,5,70,20,Sunday,0,1.750
6,6,3,4,120,32,Sunday,0,1.875
7,7,3,10,120,32,Sunday,0,1.875
8,8,4,5,130,28,Sunday,0,2.321
9,9,4,6,60,17,Sunday,0,1.765
10,10,5,8,140,48,Sunday,0,1.458
11,11,5,12,90,17,Sunday,0,2.647
12,12,6,7,50,11,Sunday,0,2.273
13,13,7,9,130,19,Sunday,0,3.421
14,14,8,9,110,43,Sunday,0,1.279
15,15,9,11,90,31,Sunday,0,1.452
16,16,9,13,100,27,Sunday,0,1.852
17,17,10,11,120,47,Sunday,0,1.277
18,18,10,13,130,35,Sunday,0,1.857
19,19,11,12,130,34,Sunday,0,1.912
20,20,0,1,100,23,Sunday,2,2.174
21,21,0,2,90,35,Sunday,2,1.286
22,22,0,3,50,18,Sunday,2,1.389
23,23,1,2,70,20,Sunday,2,1.750
24,24,1,7,110,21,Sunday,2,2.619
25,25,2,5,90,20,Sunday,2,2.250
26,26,3,4,140,15,Sunday,2,4.667
27,27,3,10,100,15,Sunday,2,3.333
28,28,4,5,80,9,Sunday,2,4.444
29,29,4,6,140,48,Sunday,2,1.458
30,30,5,8,50,19,Sunday,2,1.316
31,31,5,12,100,21,Sunday,2,2.381
32,32,6,7,140,44,Sunday,2,1.591
33,33,7,9,120,42,Sunday,2,1.429
34,34,8,9,100,35,Sunday,2,1.429
35,35,9,11,60,7,Sunday,2,4.286
36,36,9,13,80,31,Sunday,2,1.290
37,37,10,11,100,21,Sunday,2,2.381
38,38,10,13,120,21,Sunday,2,2.857
39,39,11,12,100,37,Sunday,2,1.351
40,40,0,1,60,15,Sunday,4,2.000
41,41,0,2,60,23,Sunday,4,1.304
42,42,0,3,140,51,Sunday,4,1.373
43,43,1,2,130,33,Sunday,4,1.970
44,44,1,7,100,27,Sunday,4,1.852
45,45,2,5,80,27,Sunday,4,1.481
46,46,3,4,50,12,Sunday,4,2.083
47,47,3,10,100,19,Sunday,4,2.632
48,48,4,5,80,21,Sunday,4,1.905
49,49,4,6,50,7,Sunday,4,3.571
50,50,5,8,70,10,Sunday,4,3.500
51,51,5,12,70,24,Sunday,4,1.458
52,52,6,7,140,35,Sunday,4,2.000
53,53,7,9,100,20,Sunday,4,2.500
54,54,8,9,110,16,Sunday,4,3.438
55,55,9,11,70,23,Sunday,4,1.522
56,56,9,13,50,8,Sunday,4,3.125
57,57,10,11,140,29,Sunday,4,2.414
58,58,10,13,140,24,Sunday,4,2.917
59,59,11,12,90,19,Sunday,4,2.368
60,60,0,1,90,16,Sunday,6,2.812
61,61,0,2,110,33,Sunday,6,1.667
62,62,0,3,80,27,Sunday,6,1.481
63,63,1,2,100,34,Sunday,6,1.471
64,64,1,7,60,8,Sunday,6,3.750
65,65,2,5,70,25,Sunday,6,1.400
66,66,3,4,90,14,Sunday,6,3.214
67,67,3,10,130,17,Sunday,6,3.824
68,68,4,5,80,14,Sunday,6,2.857
69,69,4,6,100,26,Sunday,6,1.923
70,70,5,8,90,20,Sunday,6,2.250
71,71,5,12,50,11,Sunday,6,2.273
72,72,6,7,70,16,Sunday,6,2.188
73,73,7,9,120,31,Sunday,6,1.935
74,74,8,9,100,15,Sunday,6,3.333
75,75,9,11,50,5,Sunday,6,5.000
76,76,9,13,90,14,Sunday,6,3.214
77,77,10,11,60,9,Sunday,6,3.333
78,78,10,13,80,25,Sunday,6,1.600
79,79,11,12,130,28,Sunday,6,2.321
80,80,0,1,70,24,Sunday,8,1.458
81,81,0,2,120,37,Sunday,8,1.622
82,82,0,3,140,31,Sunday,8,2.258
83,83,1,2,80,14,Sunday,8,2.857
84,84,1,7,90,13,Sunday,8,3.462
85,85,2,5,140,55,Sunday,8,1.273
86,86,3,4,80,24,Sunday,8,1.667
87,87,3,10,110,20,Sunday,8,2.750
88,88,4,5,90,12,Sunday,8,3.750
89,89,4,6,70,21,Sunday,8,1.667
90,90,5,8,100,14,Sunday,8,3.571
91,91,5,12,90,17,Sunday,8,2.647
92,92,6,7,70,25,Sunday,8,1.400
93,93,7,9,110,12,Sunday,8,4.583
94,94,8,9,60,9,Sunday,8,3.333
95,95,9,11,140,36,Sunday,8,1.944
96,96,9,13,140,15,Sunday,8,4.667
97,97,10,11,140,22,Sunday,8,3.182
98,98,10,13,140,30,Sunday,8,2.333
99,99,11,12,70,26,Sunday,8,1.346
100,100,0,1,60,32,Sunday,10,0.938
101,101,0,2,130,57,Sunday,10,1.140
102,102,0,3,110,62,Sunday,10,0.887
103,103,1,2,80,41,Sunday,10,0.976
104,104,1,7,140,54,Sunday,10,1.296
105,105,2,5,130,41,Sunday,10,1.585
106,106,3,4,90,40,Sunday,10,1.125
107,107,3,10,60,21,Sunday,10,1.429
108,108,4,5,120,70,Sunday,10,0.857
109,109,4,6,50,18,Sunday,10,1.389
110,110,5,8,70,36,Sunday,10,0.972
111,111,5,12,140,45,Sunday,10,1.556
112,112,6,7,50,25,Sunday,10,1.000
113,113,7,9,130,65,Sunday,10,1.000
114,114,8,9,110,65,Sunday,10,0.846
115,115,9,11,120,63,Sunday,10,0.952
116,116,9,13,90,34,Sunday,10,1.324
117,117,10,11,130,76,Sunday,10,0.855
118,118,10,13,80,40,Sunday,10,1.000
119,119,11,12,100,59,Sunday,10,0.847
120,120,0,1,100,30,Sunday,12,1.667
121,121,0,2,130,74,Sunday,12,0.878
122,122,0,3,80,25,Sunday,12,1.600
123,123,1,2,80,37,Sunday,12,1.081
124,124,1,7,70,41,Sunday,12,0.854
125,125,2,5,90,43,Sunday,12,1.047
126,126,3,4,80,25,Sunday,12,1.600
127,127,3,10,50,24,Sunday,12,1.042
128,128,4,5,120,50,Sunday,12,1.200
129,129,4,6,110,58,Sunday,12,0.948
