,ID,EP1,EP2,Bandwidth,PacketsFlowing(1Kb),DayOfTheWeek,TimeHour,Weight
0,0,0,1,140,30,Sunday,0,2.3104999999999998
1,1,0,2,100,35,Sunday,0,1.429
2,2,0,3,130,14,Sunday,0,4.750100000000001
3,3,1,2,120,27,Sunday,0,2.1927
4,4,1,7,50,19,Sunday,0,1.316
5,5,2,5,70,10,Sunday,0,3.5
6,6,3,4,100,25,Sunday,0,2.02
7,7,3,10,80,20,Sunday,0,2.0
8,8,4,5,130,19,Sunday,0,3.4122
9,9,4,6,140,29,Sunday,0,2.3805000000000005
10,10,5,8,50,16,Sunday,0,1.5619999999999998
11,11,5,12,80,21,Sunday,0,1.9049999999999998
12,12,6,7,90,14,Sunday,0,3.2139999999999995
13,13,7,9,110,21,Sunday,0,2.6189999999999998
14,14,8,9,60,10,Sunday,0,3.0
15,15,9,11,140,53,Sunday,0,1.3235
16,16,9,13,120,20,Sunday,0,2.9677999999999995
17,17,10,11,70,7,Sunday,0,5.0
18,18,10,13,50,8,Sunday,0,3.125
19,19,11,12,80,13,Sunday,0,3.0770000000000004
20,20,0,1,70,16,Sunday,2,2.1879999999999997
21,21,0,2,100,16,Sunday,2,3.1776
22,22,0,3,130,26,Sunday,2,2.5
23,23,1,2,70,13,Sunday,2,2.6727999999999996
24,24,1,7,110,30,Sunday,2,1.8457999999999999
25,25,2,5,50,10,Sunday,2,2.5
26,26,3,4,110,21,Sunday,2,2.6189999999999998
27,27,3,10,70,15,Sunday,2,2.3329999999999997
28,28,4,5,60,16,Sunday,2,1.875
29,29,4,6,90,35,Sunday,2,1.3002999999999996
30,30,5,8,140,51,Sunday,2,1.3703000000000003
31,31,5,12,50,14,Sunday,2,1.786
32,32,6,7,100,12,Sunday,2,4.2048000000000005
33,33,7,9,90,20,Sunday,2,2.25
34,34,8,9,90,24,Sunday,2,1.875
35,35,9,11,100,15,Sunday,2,3.3329999999999993
36,36,9,13,120,42,Sunday,2,1.429
37,37,10,11,70,8,Sunday,2,4.375
38,38,10,13,90,9,Sunday,2,4.95
39,39,11,12,100,37,Sunday,2,1.3588
40,40,0,1,110,12,Sunday,4,4.624699999999999
41,41,0,2,130,39,Sunday,4,1.6641
42,42,0,3,100,22,Sunday,4,2.273
43,43,1,2,140,14,Sunday,4,5.0
44,44,1,7,120,14,Sunday,4,4.3546000000000005
45,45,2,5,70,26,Sunday,4,1.3459999999999999
46,46,3,4,80,11,Sunday,4,3.6057
47,47,3,10,80,22,Sunday,4,1.8180000000000003
48,48,4,5,100,26,Sunday,4,1.9307000000000003
49,49,4,6,100,38,Sunday,4,1.3274000000000001
50,50,5,8,130,29,Sunday,4,2.2669
51,51,5,12,120,18,Sunday,4,3.3329999999999993
52,52,6,7,140,37,Sunday,4,1.8360999999999996
53,53,7,9,90,10,Sunday,4,4.55
54,54,8,9,110,16,Sunday,4,3.4177
55,55,9,11,80,18,Sunday,4,2.2220000000000004
56,56,9,13,130,36,Sunday,4,1.8111000000000004
57,57,10,11,70,17,Sunday,4,2.0590000000000006
58,58,10,13,90,31,Sunday,4,1.4567999999999999
59,59,11,12,130,18,Sunday,4,3.5641999999999996
60,60,0,1,90,30,Sunday,6,1.5104
61,61,0,2,100,19,Sunday,6,2.6319999999999992
62,62,0,3,70,9,Sunday,6,3.8890000000000002
63,63,1,2,70,16,Sunday,6,2.1879999999999997
64,64,1,7,120,22,Sunday,6,2.7282
65,65,2,5,50,6,Sunday,6,4.167000000000001
66,66,3,4,140,48,Sunday,6,1.4580000000000002
67,67,3,10,110,13,Sunday,6,4.236000000000001
68,68,4,5,80,31,Sunday,6,1.2899999999999998
69,69,4,6,140,36,Sunday,6,1.9439999999999995
70,70,5,8,90,23,Sunday,6,1.9487999999999999
71,71,5,12,110,20,Sunday,6,2.75
72,72,6,7,50,19,Sunday,6,1.316
73,73,7,9,50,17,Sunday,6,1.4709999999999999
74,74,8,9,120,33,Sunday,6,1.818
75,75,9,11,80,12,Sunday,6,3.307399999999999
76,76,9,13,140,22,Sunday,6,3.1819999999999995
77,77,10,11,110,17,Sunday,6,3.2756
78,78,10,13,70,20,Sunday,6,1.75
79,79,11,12,100,14,Sunday,6,3.571
80,80,0,1,50,18,Sunday,8,1.3889999999999998
81,81,0,2,110,29,Sunday,8,1.9209
