ID,EP1,EP2,Bandwidth,PacketsFlowing(1Kb),DayOfTheWeek,TimeHour
0,0,1,140,30,Sunday,0
1,0,2,100,35,Sunday,0
2,0,3,130,14,Sunday,0
3,1,2,120,27,Sunday,0
4,1,7,50,19,Sunday,0
5,2,5,70,10,Sunday,0
6,3,4,100,25,Sunday,0
7,3,10,80,20,Sunday,0
8,4,5,130,19,Sunday,0
9,4,6,140,29,Sunday,0
10,5,8,50,16,Sunday,0
11,5,12,80,21,Sunday,0
12,6,7,90,14,Sunday,0
13,7,9,110,21,Sunday,0
14,8,9,60,10,Sunday,0
15,9,11,140,53,Sunday,0
16,9,13,120,20,Sunday,0
17,10,11,70,7,Sunday,0
18,10,13,50,8,Sunday,0
19,11,12,80,13,Sunday,0
20,0,1,70,16,Sunday,2
21,0,2,100,16,Sunday,2
22,0,3,130,26,Sunday,2
23,1,2,70,13,Sunday,2
24,1,7,110,30,Sunday,2
25,2,5,50,10,Sunday,2
26,3,4,110,21,Sunday,2
27,3,10,70,15,Sunday,2
28,4,5,60,16,Sunday,2
29,4,6,90,35,Sunday,2
30,5,8,140,51,Sunday,2
31,5,12,50,14,Sunday,2
32,6,7,100,12,Sunday,2
33,7,9,90,20,Sunday,2
34,8,9,90,24,Sunday,2
35,9,11,100,15,Sunday,2
36,9,13,120,42,Sunday,2
37,10,11,70,8,Sunday,2
38,10,13,90,9,Sunday,2
39,11,12,100,37,Sunday,2
40,0,1,110,12,Sunday,4
41,0,2,130,39,Sunday,4
42,0,3,100,22,Sunday,4
43,1,2,140,14,Sunday,4
44,1,7,120,14,Sunday,4
45,2,5,70,26,Sunday,4
46,3,4,80,11,Sunday,4
47,3,10,80,22,Sunday,4
48,4,5,100,26,Sunday,4
49,4,6,100,38,Sunday,4
50,5,8,130,29,Sunday,4
51,5,12,120,18,Sunday,4
52,6,7,140,37,Sunday,4
53,7,9,90,10,Sunday,4
54,8,9,110,16,Sunday,4
55,9,11,80,18,Sunday,4
56,9,13,130,36,Sunday,4
57,10,11,70,17,Sunday,4
58,10,13,90,31,Sunday,4
59,11,12,130,18,Sunday,4
60,0,1,90,30,Sunday,6
61,0,2,100,19,Sunday,6
62,0,3,70,9,Sunday,6
63,1,2,70,16,Sunday,6
64,1,7,120,22,Sunday,6
65,2,5,50,6,Sunday,6
66,3,4,140,48,Sunday,6
67,3,10,110,13,Sunday,6
68,4,5,80,31,Sunday,6
69,4,6,140,36,Sunday,6
70,5,8,90,23,Sunday,6
71,5,12,110,20,Sunday,6
72,6,7,50,19,Sunday,6
73,7,9,50,17,Sunday,6
74,8,9,120,33,Sunday,6
75,9,11,80,12,Sunday,6
76,9,13,140,22,Sunday,6
77,10,11,110,17,Sunday,6
78,10,13,70,20,Sunday,6
79,11,12,100,14,Sunday,6
80,0,1,50,18,Sunday,8
