,ID,EP1,EP2,Bandwidth,PacketsFlowing(1Kb),DayOfTheWeek,TimeHour,Weight
0,0,0,1,70,13,Sunday,0,2.6727999999999996
1,1,0,2,130,22,Sunday,0,2.9549999999999996
2,2,0,3,80,17,Sunday,0,2.3399000000000005
3,3,1,2,110,20,Sunday,0,2.75
4,4,1,7,50,18,Sunday,0,1.3889999999999998
5,5,2,5,70,20,Sunday,0,1.75
6,6,3,4,120,32,Sunday,0,1.875
7,7,3,10,120,32,Sunday,0,1.875
8,8,4,5,130,28,Sunday,0,2.3388
9,9,4,6,60,17,Sunday,0,1.7650000000000001
10,10,5,8,140,48,Sunday,0,1.4580000000000002
11,11,5,12,90,17,Sunday,0,2.7155999999999993
12,12,6,7,50,11,Sunday,0,2.273
13,13,7,9,130,19,Sunday,0,3.44
14,14,8,9,110,43,Sunday,0,1.3084000000000002
15,15,9,11,90,31,Sunday,0,1.4402
16,16,9,13,100,27,Sunday,0,1.8519999999999999
17,17,10,11,120,47,Sunday,0,1.3096
18,18,10,13,130,35,Sunday,0,1.8573999999999997
19,19,11,12,130,34,Sunday,0,1.9177999999999997
20,20,0,1,100,23,Sunday,2,2.1656999999999997
21,21,0,2,90,35,Sunday,2,1.3002999999999996
22,22,0,3,50,18,Sunday,2,1.3889999999999998
23,23,1,2,70,20,Sunday,2,1.75
24,24,1,7,110,21,Sunday,2,2.6189999999999998
25,25,2,5,90,20,Sunday,2,2.25
26,26,3,4,140,15,Sunday,2,4.546000000000001
27,27,3,10,100,15,Sunday,2,3.3329999999999993
28,28,4,5,80,9,Sunday,2,4.6108
29,29,4,6,140,48,Sunday,2,1.4580000000000002
30,30,5,8,50,19,Sunday,2,1.316
31,31,5,12,100,21,Sunday,2,2.381
32,32,6,7,140,44,Sunday,2,1.5831999999999997
33,33,7,9,120,42,Sunday,2,1.429
34,34,8,9,100,35,Sunday,2,1.417
35,35,9,11,60,7,Sunday,2,4.3574
36,36,9,13,80,31,Sunday,2,1.3386
37,37,10,11,100,21,Sunday,2,2.381
38,38,10,13,120,21,Sunday,2,2.8855999999999997
39,39,11,12,100,37,Sunday,2,1.3588
40,40,0,1,60,15,Sunday,4,2.0
41,41,0,2,60,23,Sunday,4,1.304
42,42,0,3,140,51,Sunday,4,1.3730000000000004
43,43,1,2,130,33,Sunday,4,1.9642
44,44,1,7,100,27,Sunday,4,1.8519999999999999
45,45,2,5,80,27,Sunday,4,1.4809999999999999
46,46,3,4,50,12,Sunday,4,2.0829999999999997
47,47,3,10,100,19,Sunday,4,2.6319999999999992
48,48,4,5,80,21,Sunday,4,1.9049999999999998
49,49,4,6,50,7,Sunday,4,3.571
50,50,5,8,70,10,Sunday,4,3.5
51,51,5,12,70,24,Sunday,4,1.4580000000000002
52,52,6,7,140,35,Sunday,4,1.9944
53,53,7,9,100,20,Sunday,4,2.5
54,54,8,9,110,16,Sunday,4,3.4177
55,55,9,11,70,23,Sunday,4,1.522
56,56,9,13,50,8,Sunday,4,3.125
57,57,10,11,140,29,Sunday,4,2.3978000000000006
58,58,10,13,140,24,Sunday,4,2.9053000000000004
59,59,11,12,90,19,Sunday,4,2.3680000000000008
60,60,0,1,90,16,Sunday,6,2.8476000000000004
61,61,0,2,110,33,Sunday,6,1.6771999999999998
62,62,0,3,80,27,Sunday,6,1.4809999999999999
63,63,1,2,100,34,Sunday,6,1.4628
64,64,1,7,60,8,Sunday,6,3.75
65,65,2,5,70,25,Sunday,6,1.4000000000000001
66,66,3,4,90,14,Sunday,6,3.2139999999999995
67,67,3,10,130,17,Sunday,6,3.8614000000000006
68,68,4,5,80,14,Sunday,6,2.8569999999999998
69,69,4,6,100,26,Sunday,6,1.9307000000000003
70,70,5,8,90,20,Sunday,6,2.25
71,71,5,12,50,11,Sunday,6,2.273
72,72,6,7,70,16,Sunday,6,2.1879999999999997
73,73,7,9,120,31,Sunday,6,1.9290000000000003
74,74,8,9,100,15,Sunday,6,3.3329999999999993
75,75,9,11,50,5,Sunday,6,4.9167000000000005
76,76,9,13,90,14,Sunday,6,3.2139999999999995
77,77,10,11,60,9,Sunday,6,3.3329999999999993
78,78,10,13,80,25,Sunday,6,1.5999999999999999
79,79,11,12,130,28,Sunday,6,2.3308999999999997
80,80,0,1,70,24,Sunday,8,1.4580000000000002
81,81,0,2,120,37,Sunday,8,1.6268
82,82,0,3,140,31,Sunday,8,2.266
83,83,1,2,80,14,Sunday,8,2.8569999999999998
84,84,1,7,90,13,Sunday,8,3.4908
85,85,2,5,140,55,Sunday,8,1.2975999999999999
86,86,3,4,80,24,Sunday,8,1.6741999999999997
87,87,3,10,110,20,Sunday,8,2.75
88,88,4,5,90,12,Sunday,8,3.7969999999999997
89,89,4,6,70,21,Sunday,8,1.6669999999999998
90,90,5,8,100,14,Sunday,8,3.571
91,91,5,12,90,17,Sunday,8,2.7155999999999993
92,92,6,7,70,25,Sunday,8,1.4000000000000001
93,93,7,9,110,12,Sunday,8,4.624699999999999
94,94,8,9,60,9,Sunday,8,3.3329999999999993
95,95,9,11,140,36,Sunday,8,1.9387999999999994
96,96,9,13,140,15,Sunday,8,4.6378
97,97,10,11,140,22,Sunday,8,3.1819999999999995
98,98,10,13,140,30,Sunday,8,2.3254999999999995
99,99,11,12,70,26,Sunday,8,1.3459999999999999
100,100,0,1,60,32,Sunday,10,0.9350999999999999
101,101,0,2,130,57,Sunday,10,1.14
102,102,0,3,110,62,Sunday,10,0.8871
103,103,1,2,80,41,Sunday,10,0.9759999999999998
104,104,1,7,140,54,Sunday,10,1.2913999999999999
105,105,2,5,130,41,Sunday,10,1.5623
106,106,3,4,90,40,Sunday,10,1.1279
107,107,3,10,60,21,Sunday,10,1.429
108,108,4,5,120,70,Sunday,10,0.8615999999999999
109,109,4,6,50,18,Sunday,10,1.3889999999999998
110,110,5,8,70,36,Sunday,10,0.9775999999999998
111,111,5,12,140,45,Sunday,10,1.5526000000000004
112,112,6,7,50,25,Sunday,10,0.9924
113,113,7,9,130,65,Sunday,10,1.0003
114,114,8,9,110,65,Sunday,10,0.8486
115,115,9,11,120,63,Sunday,10,0.9552000000000002
116,116,9,13,90,34,Sunday,10,1.3279999999999998
117,117,10,11,130,76,Sunday,10,0.8577000000000001
118,118,10,13,80,40,Sunday,10,1.0026
119,119,11,12,100,59,Sunday,10,0.8545
120,120,0,1,100,30,Sunday,12,1.6616
121,121,0,2,130,74,Sunday,12,0.8859999999999999
122,122,0,3,80,25,Sunday,12,1.5778999999999999
123,123,1,2,80,37,Sunday,12,1.0839999999999996
124,124,1,7,70,41,Sunday,12,0.8561
125,125,2,5,90,43,Sunday,12,1.0470000000000002
126,126,3,4,80,25,Sunday,12,1.5778999999999999
127,127,3,10,50,24,Sunday,12,1.042
128,128,4,5,120,50,Sunday,12,1.1953999999999998
129,129,4,6,110,58,Sunday,12,0.9449000000000002
130,130,5,8,70,25,Sunday,12,1.4058
131,131,5,12,60,21,Sunday,12,1.429
132,132,6,7,100,34,Sunday,12,1.4667999999999999
133,133,7,9,50,26,Sunday,12,0.962
134,134,8,9,130,56,Sunday,12,1.1613
135,135,9,11,140,42,Sunday,12,1.6389
136,136,9,13,90,38,Sunday,12,1.1810000000000003
137,137,10,11,120,50,Sunday,12,1.1904
138,138,10,13,130,48,Sunday,12,1.3515000000000001
139,139,11,12,50,20,Sunday,12,1.25
140,140,0,1,70,39,Sunday,14,0.897
141,141,0,2,120,68,Sunday,14,0.8819999999999999
142,142,0,3,50,23,Sunday,14,1.087
143,143,1,2,60,25,Sunday,14,1.1953999999999998
144,144,1,7,130,45,Sunday,14,1.4441999999999997
145,145,2,5,80,45,Sunday,14,0.891
146,146,3,4,60,22,Sunday,14,1.3640000000000003
147,147,3,10,140,77,Sunday,14,0.8982000000000001
148,148,4,5,50,28,Sunday,14,0.8930000000000001
149,149,4,6,90,34,Sunday,14,1.3279999999999998
150,150,5,8,50,20,Sunday,14,1.25
151,151,5,12,90,32,Sunday,14,1.4018000000000002
152,152,6,7,60,30,Sunday,14,1.0
153,153,7,9,130,69,Sunday,14,0.9448000000000001
154,154,8,9,120,37,Sunday,14,1.6265
155,155,9,11,100,43,Sunday,14,1.1657000000000002
156,156,9,13,140,50,Sunday,14,1.3946
157,157,10,11,80,47,Sunday,14,0.8548
158,158,10,13,80,41,Sunday,14,0.9759999999999998
159,159,11,12,100,33,Sunday,14,1.5197
160,160,0,1,120,55,Sunday,16,1.1123999999999998
161,161,0,2,100,47,Sunday,16,1.0596
162,162,0,3,90,41,Sunday,16,1.0979999999999996
163,163,1,2,60,35,Sunday,16,0.857
164,164,1,7,90,43,Sunday,16,1.0493999999999999
165,165,2,5,80,32,Sunday,16,1.2462
166,166,3,4,50,20,Sunday,16,1.25
167,167,3,10,80,28,Sunday,16,1.4242000000000001
168,168,4,5,120,47,Sunday,16,1.2770000000000004
169,169,4,6,70,39,Sunday,16,0.9099
170,170,5,8,80,39,Sunday,16,1.026
171,171,5,12,130,40,Sunday,16,1.6206
172,172,6,7,100,56,Sunday,16,0.8897999999999999
173,173,7,9,60,26,Sunday,16,1.1543
174,174,8,9,120,59,Sunday,16,1.0207000000000002
175,175,9,11,120,52,Sunday,16,1.1454
176,176,9,13,80,40,Sunday,16,1.0078
177,177,10,11,80,32,Sunday,16,1.2462
178,178,10,13,80,32,Sunday,16,1.2462
179,179,11,12,50,21,Sunday,16,1.1959999999999997
180,180,0,1,50,18,Sunday,18,1.3889999999999998
181,181,0,2,70,37,Sunday,18,0.9485999999999999
182,182,0,3,80,36,Sunday,18,1.1142
183,183,1,2,110,43,Sunday,18,1.2792
184,184,1,7,90,47,Sunday,18,0.9551000000000001
185,185,2,5,90,50,Sunday,18,0.8982000000000001
186,186,3,4,90,37,Sunday,18,1.2159999999999997
187,187,3,10,110,54,Sunday,18,1.0344000000000002
188,188,4,5,100,39,Sunday,18,1.2819999999999998
189,189,4,6,90,29,Sunday,18,1.5396999999999998
190,190,5,8,60,24,Sunday,18,1.25
191,191,5,12,90,46,Sunday,18,0.978
192,192,6,7,50,22,Sunday,18,1.1359999999999997
193,193,7,9,110,48,Sunday,18,1.1436
194,194,8,9,100,37,Sunday,18,1.3474999999999997
195,195,9,11,100,49,Sunday,18,1.0199999999999998
196,196,9,13,130,68,Sunday,18,0.9574
197,197,10,11,120,56,Sunday,18,1.0732
198,198,10,13,130,57,Sunday,18,1.1381000000000001
199,199,11,12,50,18,Sunday,18,1.3889999999999998
200,200,0,1,120,32,Sunday,20,1.8695999999999997
201,201,0,2,80,13,Sunday,20,3.0770000000000004
202,202,0,3,100,34,Sunday,20,1.4458
203,203,1,2,130,36,Sunday,20,1.7773000000000003
204,204,1,7,60,20,Sunday,20,1.5
205,205,2,5,70,23,Sunday,20,1.5156
206,206,3,4,140,36,Sunday,20,1.8804000000000003
207,207,3,10,80,31,Sunday,20,1.3797
208,208,4,5,50,8,Sunday,20,3.125
209,209,4,6,60,13,Sunday,20,2.3080000000000003
210,210,5,8,110,15,Sunday,20,3.644100000000001
211,211,5,12,100,17,Sunday,20,3.0096
212,212,6,7,130,49,Sunday,20,1.3162
213,213,7,9,120,34,Sunday,20,1.7695
214,214,8,9,80,31,Sunday,20,1.3356
215,215,9,11,110,15,Sunday,20,3.644100000000001
216,216,9,13,130,16,Sunday,20,4.1477
217,217,10,11,110,14,Sunday,20,3.9289999999999994
218,218,10,13,80,8,Sunday,20,4.9444
219,219,11,12,80,21,Sunday,20,1.9049999999999998
220,220,0,1,140,43,Sunday,22,1.6286
221,221,0,2,60,18,Sunday,22,1.6669999999999998
222,222,0,3,90,17,Sunday,22,2.7155999999999993
223,223,1,2,130,27,Sunday,22,2.4363
224,224,1,7,70,12,Sunday,22,2.9169999999999994
225,225,2,5,90,19,Sunday,22,2.3680000000000008
226,226,3,4,70,12,Sunday,22,2.9169999999999994
227,227,3,10,110,18,Sunday,22,3.0739000000000005
228,228,4,5,50,16,Sunday,22,1.5619999999999998
229,229,4,6,60,17,Sunday,22,1.7650000000000001
230,230,5,8,60,15,Sunday,22,2.0
231,231,5,12,90,33,Sunday,22,1.3756000000000002
232,232,6,7,50,11,Sunday,22,2.273
233,233,7,9,80,13,Sunday,22,3.0770000000000004
234,234,8,9,130,33,Sunday,22,1.9373999999999998
235,235,9,11,140,46,Sunday,22,1.5288
236,236,9,13,50,15,Sunday,22,1.6669999999999998
237,237,10,11,110,20,Sunday,22,2.75
238,238,10,13,60,12,Sunday,22,2.5
239,239,11,12,100,27,Sunday,22,1.8219999999999998
240,240,0,1,70,15,Sunday,24,2.3329999999999997
241,241,0,2,70,9,Sunday,24,3.8890000000000002
242,242,0,3,130,23,Sunday,24,2.7538000000000005
243,243,1,2,100,12,Sunday,24,4.083600000000001
244,244,1,7,60,22,Sunday,24,1.3640000000000003
245,245,2,5,70,14,Sunday,24,2.5
246,246,3,4,100,14,Sunday,24,3.571
247,247,3,10,70,18,Sunday,24,1.9439999999999995
248,248,4,5,80,26,Sunday,24,1.5643
249,249,4,6,140,42,Sunday,24,1.671
250,250,5,8,70,8,Sunday,24,4.375
251,251,5,12,60,18,Sunday,24,1.6669999999999998
252,252,6,7,90,25,Sunday,24,1.8000000000000003
253,253,7,9,50,8,Sunday,24,3.125
254,254,8,9,70,22,Sunday,24,1.5909999999999997
255,255,9,11,120,13,Sunday,24,4.615000000000001
256,256,9,13,110,41,Sunday,24,1.3268
257,257,10,11,130,41,Sunday,24,1.5588000000000002
258,258,10,13,130,15,Sunday,24,4.3331
259,259,11,12,90,22,Sunday,24,2.0450000000000004
260,260,0,1,100,72,Monday,0,0.6940000000000001
261,261,0,2,140,90,Monday,0,0.7779999999999999
262,262,0,3,60,32,Monday,0,0.9380000000000001
