,ID,EP1,EP2,Bandwidth,PacketsFlowing(1Kb),DayOfTheWeek,TimeHour,LinkWeight
0,0,0,1,140,31,Sunday,0,2.258
1,1,0,2,80,22,Sunday,0,1.818
2,2,0,3,140,36,Sunday,0,1.944
3,3,1,2,120,32,Sunday,0,1.875
4,4,1,7,90,27,Sunday,0,1.667
5,5,2,5,130,26,Sunday,0,2.500
6,6,3,4,110,26,Sunday,0,2.115
7,7,3,10,120,26,Sunday,0,2.308
8,8,4,5,80,19,Sunday,0,2.105
9,9,4,6,60,11,Sunday,0,2.727
10,10,5,8,140,30,Sunday,0,2.333
11,11,5,12,50,17,Sunday,0,1.471
12,12,6,7,50,18,Sunday,0,1.389
13,13,7,9,140,37,Sunday,0,1.892
14,14,8,9,120,33,Sunday,0,1.818
15,15,9,11,70,18,Sunday,0,1.944
16,16,9,13,70,15,Sunday,0,2.333
17,17,10,11,100,29,Sunday,0,1.724
18,18,10,13,70,25,Sunday,0,1.400
19,19,11,12,50,9,Sunday,0,2.778
20,20,0,1,140,21,Sunday,2,3.333
21,21,0,2,110,22,Sunday,2,2.500
22,22,0,3,50,9,Sunday,2,2.778
23,23,1,2,110,40,Sunday,2,1.375
24,24,1,7,120,39,Sunday,2,1.538
25,25,2,5,140,22,Sunday,2,3.182
26,26,3,4,120,26,Sunday,2,2.308
27,27,3,10,70,12,Sunday,2,2.917
28,28,4,5,80,15,Sunday,2,2.667
29,29,4,6,130,45,Sunday,2,1.444
30,30,5,8,120,31,Sunday,2,1.935
31,31,5,12,50,9,Sunday,2,2.778
32,32,6,7,60,19,Sunday,2,1.579
33,33,7,9,70,7,Sunday,2,5.000
34,34,8,9,70,14,Sunday,2,2.500
35,35,9,11,60,16,Sunday,2,1.875
36,36,9,13,50,7,Sunday,2,3.571
37,37,10,11,100,31,Sunday,2,1.613
38,38,10,13,50,14,Sunday,2,1.786
39,39,11,12,70,16,Sunday,2,2.188
40,40,0,1,90,9,Sunday,4,5.000
41,41,0,2,50,8,Sunday,4,3.125
42,42,0,3,130,13,Sunday,4,5.000
43,43,1,2,90,9,Sunday,4,5.000
44,44,1,7,60,11,Sunday,4,2.727
45,45,2,5,130,42,Sunday,4,1.548
46,46,3,4,100,17,Sunday,4,2.941
47,47,3,10,100,11,Sunday,4,4.545
48,48,4,5,100,20,Sunday,4,2.500
