ID,EP1,EP2,Bandwidth,PacketsFlowing(1Kb),DayOfTheWeek,TimeHour
0,0,1,70,13,Sunday,0
1,0,2,130,22,Sunday,0
2,0,3,80,17,Sunday,0
3,1,2,110,20,Sunday,0
4,1,7,50,18,Sunday,0
5,2,5,70,20,Sunday,0
6,3,4,120,32,Sunday,0
7,3,10,120,32,Sunday,0
8,4,5,130,28,Sunday,0
9,4,6,60,17,Sunday,0
10,5,8,140,48,Sunday,0
11,5,12,90,17,Sunday,0
12,6,7,50,11,Sunday,0
13,7,9,130,19,Sunday,0
14,8,9,110,43,Sunday,0
15,9,11,90,31,Sunday,0
16,9,13,100,27,Sunday,0
17,10,11,120,47,Sunday,0
18,10,13,130,35,Sunday,0
19,11,12,130,34,Sunday,0
20,0,1,100,23,Sunday,2
21,0,2,90,35,Sunday,2
22,0,3,50,18,Sunday,2
23,1,2,70,20,Sunday,2
24,1,7,110,21,Sunday,2
25,2,5,90,20,Sunday,2
26,3,4,140,15,Sunday,2
27,3,10,100,15,Sunday,2
28,4,5,80,9,Sunday,2
29,4,6,140,48,Sunday,2
30,5,8,50,19,Sunday,2
31,5,12,100,21,Sunday,2
32,6,7,140,44,Sunday,2
33,7,9,120,42,Sunday,2
34,8,9,100,35,Sunday,2
35,9,11,60,7,Sunday,2
36,9,13,80,31,Sunday,2
37,10,11,100,21,Sunday,2
38,10,13,120,21,Sunday,2
39,11,12,100,37,Sunday,2
40,0,1,60,15,Sunday,4
41,0,2,60,23,Sunday,4
42,0,3,140,51,Sunday,4
43,1,2,130,33,Sunday,4
44,1,7,100,27,Sunday,4
45,2,5,80,27,Sunday,4
46,3,4,50,12,Sunday,4
47,3,10,100,19,Sunday,4
48,4,5,80,21,Sunday,4
49,4,6,50,7,Sunday,4
50,5,8,70,10,Sunday,4
51,5,12,70,24,Sunday,4
52,6,7,140,35,Sunday,4
53,7,9,100,20,Sunday,4
54,8,9,110,16,Sunday,4
55,9,11,70,23,Sunday,4
56,9,13,50,8,Sunday,4
57,10,11,140,29,Sunday,4
58,10,13,140,24,Sunday,4
59,11,12,90,19,Sunday,4
60,0,1,90,16,Sunday,6
61,0,2,110,33,Sunday,6
62,0,3,80,27,Sunday,6
63,1,2,100,34,Sunday,6
64,1,7,60,8,Sunday,6
65,2,5,70,25,Sunday,6
66,3,4,90,14,Sunday,6
67,3,10,130,17,Sunday,6
68,4,5,80,14,Sunday,6
69,4,6,100,26,Sunday,6
70,5,8,90,20,Sunday,6
71,5,12,50,11,Sunday,6
72,6,7,70,16,Sunday,6
73,7,9,120,31,Sunday,6
74,8,9,100,15,Sunday,6
75,9,11,50,5,Sunday,6
76,9,13,90,14,Sunday,6
77,10,11,60,9,Sunday,6
78,10,13,80,25,Sunday,6
79,11,12,130,28,Sunday,6
80,0,1,70,24,Sunday,8
81,0,2,120,37,Sunday,8
82,0,3,140,31,Sunday,8
83,1,2,80,14,Sunday,8
84,1,7,90,13,Sunday,8
85,2,5,140,55,Sunday,8
86,3,4,80,24,Sunday,8
87,3,10,110,20,Sunday,8
88,4,5,90,12,Sunday,8
89,4,6,70,21,Sunday,8
90,5,8,100,14,Sunday,8
91,5,12,90,17,Sunday,8
92,6,7,70,25,Sunday,8
93,7,9,110,12,Sunday,8
94,8,9,60,9,Sunday,8
95,9,11,140,36,Sunday,8
96,9,13,140,15,Sunday,8
97,10,11,140,22,Sunday,8
98,10,13,140,30,Sunday,8
99,11,12,70,26,Sunday,8
100,0,1,60,32,Sunday,10
101,0,2,130,57,Sunday,10
102,0,3,110,62,Sunday,10
103,1,2,80,41,Sunday,10
104,1,7,140,54,Sunday,10
105,2,5,130,41,Sunday,10
106,3,4,90,40,Sunday,10
107,3,10,60,21,Sunday,10
108,4,5,120,70,Sunday,10
109,4,6,50,18,Sunday,10
110,5,8,70,36,Sunday,10
111,5,12,140,45,Sunday,10
112,6,7,50,25,Sunday,10
113,7,9,130,65,Sunday,10
114,8,9,110,65,Sunday,10
115,9,11,120,63,Sunday,10
116,9,13,90,34,Sunday,10
117,10,11,130,76,Sunday,10
118,10,13,80,40,Sunday,10
119,11,12,100,59,Sunday,10
120,0,1,100,30,Sunday,12
121,0,2,130,74,Sunday,12
122,0,3,80,25,Sunday,12
123,1,2,80,37,Sunday,12
124,1,7,70,41,Sunday,12
125,2,5,90,43,Sunday,12
126,3,4,80,25,Sunday,12
127,3,10,50,24,Sunday,12
128,4,5,120,50,Sunday,12
129,4,6,110,58,Sunday,12
130,5,8,70,25,Sunday,12
131,5,12,60,21,Sunday,12
132,6,7,100,34,Sunday,12
133,7,9,50,26,Sunday,12
