,ID,EP1,EP2,Bandwidth,PacketsFlowing(1Kb),DayOfTheWeek,TimeHour,Weight
0,0,0,1,140,31,Sunday,0,2.2804999999999995
1,1,0,2,80,22,Sunday,0,1.8180000000000003
2,2,0,3,140,36,Sunday,0,1.9439999999999995
3,3,1,2,120,32,Sunday,0,1.875
4,4,1,7,90,27,Sunday,0,1.6738
5,5,2,5,130,26,Sunday,0,2.5
6,6,3,4,110,26,Sunday,0,2.1024000000000003
7,7,3,10,120,26,Sunday,0,2.2697000000000003
8,8,4,5,80,19,Sunday,0,2.105
9,9,4,6,60,11,Sunday,0,2.727
10,10,5,8,140,30,Sunday,0,2.3254999999999995
11,11,5,12,50,17,Sunday,0,1.4709999999999999
12,12,6,7,50,18,Sunday,0,1.3889999999999998
13,13,7,9,140,37,Sunday,0,1.8507999999999996
14,14,8,9,120,33,Sunday,0,1.8236999999999999
15,15,9,11,70,18,Sunday,0,1.9337999999999993
16,16,9,13,70,15,Sunday,0,2.3329999999999997
17,17,10,11,100,29,Sunday,0,1.7183
18,18,10,13,70,25,Sunday,0,1.4000000000000001
19,19,11,12,50,9,Sunday,0,2.7779999999999996
20,20,0,1,140,21,Sunday,2,3.2800999999999996
21,21,0,2,110,22,Sunday,2,2.5
22,22,0,3,50,9,Sunday,2,2.7779999999999996
23,23,1,2,110,40,Sunday,2,1.3875
24,24,1,7,120,39,Sunday,2,1.5386000000000002
25,25,2,5,140,22,Sunday,2,3.1819999999999995
26,26,3,4,120,26,Sunday,2,2.2744999999999997
27,27,3,10,70,12,Sunday,2,2.8945
28,28,4,5,80,15,Sunday,2,2.6670000000000003
29,29,4,6,130,45,Sunday,2,1.4512999999999998
30,30,5,8,120,31,Sunday,2,1.9290000000000003
31,31,5,12,50,9,Sunday,2,2.7779999999999996
32,32,6,7,60,19,Sunday,2,1.5790000000000002
33,33,7,9,70,7,Sunday,2,5.0
34,34,8,9,70,14,Sunday,2,2.5
35,35,9,11,60,16,Sunday,2,1.875
36,36,9,13,50,7,Sunday,2,3.571
37,37,10,11,100,31,Sunday,2,1.613
38,38,10,13,50,14,Sunday,2,1.786
39,39,11,12,70,16,Sunday,2,2.1879999999999997
40,40,0,1,90,9,Sunday,4,4.95
41,41,0,2,50,8,Sunday,4,3.125
42,42,0,3,130,13,Sunday,4,4.8900999999999994
43,43,1,2,90,9,Sunday,4,4.95
44,44,1,7,60,11,Sunday,4,2.727
45,45,2,5,130,42,Sunday,4,1.548
46,46,3,4,100,17,Sunday,4,3.0096
47,47,3,10,100,11,Sunday,4,4.514900000000001
48,48,4,5,100,20,Sunday,4,2.5
49,49,4,6,140,25,Sunday,4,2.8000000000000003
50,50,5,8,110,32,Sunday,4,1.7348999999999997
51,51,5,12,60,23,Sunday,4,1.31
52,52,6,7,120,24,Sunday,4,2.5326999999999997
53,53,7,9,70,24,Sunday,4,1.4580000000000002
54,54,8,9,50,19,Sunday,4,1.316
55,55,9,11,140,25,Sunday,4,2.8117000000000005
56,56,9,13,120,30,Sunday,4,1.9832999999999998
57,57,10,11,110,39,Sunday,4,1.4174
58,58,10,13,110,36,Sunday,4,1.5323000000000002
59,59,11,12,100,33,Sunday,4,1.5150000000000001
60,60,0,1,70,24,Sunday,6,1.4580000000000002
61,61,0,2,100,17,Sunday,6,3.0096
62,62,0,3,80,22,Sunday,6,1.8101000000000007
63,63,1,2,80,23,Sunday,6,1.7251
64,64,1,7,90,9,Sunday,6,4.95
65,65,2,5,140,17,Sunday,6,4.118000000000001
66,66,3,4,140,16,Sunday,6,4.3124
67,67,3,10,120,18,Sunday,6,3.3329999999999993
68,68,4,5,140,32,Sunday,6,2.1879999999999997
69,69,4,6,60,20,Sunday,6,1.5
70,70,5,8,110,15,Sunday,6,3.644100000000001
71,71,5,12,60,8,Sunday,6,3.75
72,72,6,7,100,19,Sunday,6,2.6319999999999992
73,73,7,9,90,9,Sunday,6,4.95
74,74,8,9,60,20,Sunday,6,1.5
75,75,9,11,60,20,Sunday,6,1.5
76,76,9,13,140,28,Sunday,6,2.4833
77,77,10,11,80,14,Sunday,6,2.8569999999999998
78,78,10,13,60,22,Sunday,6,1.3640000000000003
79,79,11,12,100,22,Sunday,6,2.273
80,80,0,1,130,34,Sunday,8,1.9119999999999997
81,81,0,2,70,23,Sunday,8,1.522
82,82,0,3,60,15,Sunday,8,2.0
83,83,1,2,130,30,Sunday,8,2.1744
84,84,1,7,70,26,Sunday,8,1.3459999999999999
85,85,2,5,70,27,Sunday,8,1.2959999999999998
86,86,3,4,100,10,Sunday,8,4.8180000000000005
87,87,3,10,140,46,Sunday,8,1.5221
88,88,4,5,90,27,Sunday,8,1.661
89,89,4,6,100,28,Sunday,8,1.7926000000000002
90,90,5,8,100,20,Sunday,8,2.5
91,91,5,12,100,25,Sunday,8,2.0
92,92,6,7,130,26,Sunday,8,2.4736000000000002
93,93,7,9,110,31,Sunday,8,1.7841000000000005
94,94,8,9,140,47,Sunday,8,1.4890000000000003
95,95,9,11,50,11,Sunday,8,2.273
96,96,9,13,60,8,Sunday,8,3.75
97,97,10,11,140,49,Sunday,8,1.4232
98,98,10,13,110,11,Sunday,8,4.776300000000001
99,99,11,12,120,13,Sunday,8,4.653500000000001
100,100,0,1,70,24,Sunday,10,1.4580000000000002
101,101,0,2,100,42,Sunday,10,1.1929999999999998
102,102,0,3,70,36,Sunday,10,0.9747999999999998
103,103,1,2,50,26,Sunday,10,0.9658
104,104,1,7,50,16,Sunday,10,1.5619999999999998
105,105,2,5,130,56,Sunday,10,1.161
106,106,3,4,60,28,Sunday,10,1.071
107,107,3,10,110,58,Sunday,10,0.9449000000000002
108,108,4,5,60,35,Sunday,10,0.857
109,109,4,6,130,55,Sunday,10,1.1820000000000002
110,110,5,8,130,45,Sunday,10,1.4441999999999997
111,111,5,12,60,32,Sunday,10,0.938
112,112,6,7,50,21,Sunday,10,1.1959999999999997
113,113,7,9,80,24,Sunday,10,1.6669999999999998
114,114,8,9,120,47,Sunday,10,1.2770000000000004
115,115,9,11,90,45,Sunday,10,1.0046
116,116,9,13,120,42,Sunday,10,1.4602
117,117,10,11,140,43,Sunday,10,1.6243000000000003
118,118,10,13,80,24,Sunday,10,1.6669999999999998
119,119,11,12,130,55,Sunday,10,1.1820000000000002
120,120,0,1,70,40,Sunday,12,0.875
121,121,0,2,80,45,Sunday,12,0.889
122,122,0,3,80,27,Sunday,12,1.4655999999999998
123,123,1,2,120,36,Sunday,12,1.6314
124,124,1,7,90,51,Sunday,12,0.8819999999999999
125,125,2,5,60,19,Sunday,12,1.5790000000000002
126,126,3,4,140,83,Sunday,12,0.8603
127,127,3,10,80,27,Sunday,12,1.4655999999999998
128,128,4,5,60,33,Sunday,12,0.9235
129,129,4,6,110,48,Sunday,12,1.1388000000000003
130,130,5,8,70,25,Sunday,12,1.4058
131,131,5,12,130,57,Sunday,12,1.1381000000000001
132,132,6,7,140,81,Sunday,12,0.8722
133,133,7,9,120,38,Sunday,12,1.5921000000000003
134,134,8,9,120,62,Sunday,12,0.968
135,135,9,11,110,39,Sunday,12,1.4006
136,136,9,13,140,45,Sunday,12,1.5526000000000004
137,137,10,11,100,57,Sunday,12,0.8785999999999999
138,138,10,13,80,47,Sunday,12,0.8548
139,139,11,12,60,34,Sunday,12,0.8846999999999999
140,140,0,1,120,43,Sunday,14,1.4276
141,141,0,2,140,64,Sunday,14,1.0858
142,142,0,3,80,24,Sunday,14,1.6669999999999998
143,143,1,2,130,63,Sunday,14,1.0371000000000001
144,144,1,7,50,18,Sunday,14,1.3889999999999998
145,145,2,5,100,56,Sunday,14,0.8897999999999999
146,146,3,4,90,29,Sunday,14,1.5396999999999998
147,147,3,10,120,36,Sunday,14,1.6534999999999997
148,148,4,5,50,24,Sunday,14,1.042
149,149,4,6,120,67,Sunday,14,0.8947
150,150,5,8,140,78,Sunday,14,0.8996000000000001
151,151,5,12,120,64,Sunday,14,0.9365
152,152,6,7,90,41,Sunday,14,1.0979999999999996
153,153,7,9,130,39,Sunday,14,1.6151999999999997
154,154,8,9,50,24,Sunday,14,1.042
155,155,9,11,90,29,Sunday,14,1.5396999999999998
156,156,9,13,100,48,Sunday,14,1.042
157,157,10,11,130,77,Sunday,14,0.8462000000000002
158,158,10,13,90,32,Sunday,14,1.4060000000000001
159,159,11,12,100,58,Sunday,14,0.8634999999999999
160,160,0,1,90,50,Sunday,16,0.8982000000000001
161,161,0,2,50,29,Sunday,16,0.8619999999999999
162,162,0,3,110,65,Sunday,16,0.8472999999999999
163,163,1,2,110,49,Sunday,16,1.122
164,164,1,7,50,24,Sunday,16,1.042
165,165,2,5,90,49,Sunday,16,0.9199999999999997
166,166,3,4,130,47,Sunday,16,1.3861999999999999
167,167,3,10,70,31,Sunday,16,1.1327999999999998
168,168,4,5,140,63,Sunday,16,1.1110000000000002
169,169,4,6,100,44,Sunday,16,1.1414
170,170,5,8,110,37,Sunday,16,1.4860000000000002
171,171,5,12,70,37,Sunday,16,0.9485999999999999
172,172,6,7,100,43,Sunday,16,1.1657000000000002
173,173,7,9,100,33,Sunday,16,1.5248000000000002
174,174,8,9,70,23,Sunday,16,1.5092
175,175,9,11,90,48,Sunday,16,0.9399
176,176,9,13,90,27,Sunday,16,1.6431999999999998
177,177,10,11,130,43,Sunday,16,1.5193
178,178,10,13,100,45,Sunday,16,1.116
179,179,11,12,70,31,Sunday,16,1.1327999999999998
180,180,0,1,130,44,Sunday,18,1.4829999999999999
181,181,0,2,120,48,Sunday,18,1.25
182,182,0,3,100,53,Sunday,18,0.938
183,183,1,2,130,49,Sunday,18,1.3323999999999998
184,184,1,7,140,80,Sunday,18,0.8783000000000001
185,185,2,5,100,37,Sunday,18,1.3474999999999997
186,186,3,4,100,58,Sunday,18,0.8605
187,187,3,10,70,22,Sunday,18,1.5909999999999997
188,188,4,5,60,31,Sunday,18,0.968
