,ID,EP1,EP2,Bandwidth,PacketsFlowing(1Kb),DayOfTheWeek,TimeHour,Weight
0,0,0,1,80,22,Sunday,0,1.8180000000000003
1,1,0,2,80,19,Sunday,0,2.105
2,2,0,3,70,7,Sunday,0,5.0
3,3,1,2,60,8,Sunday,0,3.75
4,4,1,7,110,12,Sunday,0,4.624699999999999
5,5,2,5,90,13,Sunday,0,3.4908
6,6,3,4,50,19,Sunday,0,1.316
7,7,3,10,140,47,Sunday,0,1.4890000000000003
8,8,4,5,50,11,Sunday,0,2.273
9,9,4,6,50,16,Sunday,0,1.5619999999999998
10,10,5,8,60,10,Sunday,0,3.0
11,11,5,12,50,19,Sunday,0,1.316
12,12,6,7,140,33,Sunday,0,2.1153
13,13,7,9,60,14,Sunday,0,2.1452000000000004
14,14,8,9,100,22,Sunday,0,2.273
15,15,9,11,90,11,Sunday,0,4.177300000000001
16,16,9,13,70,12,Sunday,0,2.8945
17,17,10,11,90,13,Sunday,0,3.5195999999999996
18,18,10,13,70,9,Sunday,0,3.8890000000000002
19,19,11,12,130,15,Sunday,0,4.3331
20,20,0,1,90,15,Sunday,2,3.0332999999999997
21,21,0,2,80,28,Sunday,2,1.429
22,22,0,3,110,32,Sunday,2,1.7296999999999998
23,23,1,2,90,22,Sunday,2,2.0450000000000004
24,24,1,7,120,40,Sunday,2,1.5084
25,25,2,5,140,25,Sunday,2,2.8243
26,26,3,4,120,25,Sunday,2,2.3229999999999995
27,27,3,10,120,12,Sunday,2,4.8845
28,28,4,5,130,45,Sunday,2,1.4512999999999998
29,29,4,6,80,27,Sunday,2,1.4867
30,30,5,8,80,16,Sunday,2,2.4853
31,31,5,12,130,32,Sunday,2,2.0196
32,32,6,7,120,17,Sunday,2,3.5004000000000004
33,33,7,9,60,10,Sunday,2,3.0
34,34,8,9,80,14,Sunday,2,2.8569999999999998
35,35,9,11,50,9,Sunday,2,2.7779999999999996
36,36,9,13,140,40,Sunday,2,1.7398
37,37,10,11,90,27,Sunday,2,1.661
38,38,10,13,100,37,Sunday,2,1.3588
39,39,11,12,60,12,Sunday,2,2.5
40,40,0,1,90,29,Sunday,4,1.5363999999999998
41,41,0,2,140,51,Sunday,4,1.3703000000000003
42,42,0,3,130,19,Sunday,4,3.4122
43,43,1,2,140,32,Sunday,4,2.1746
44,44,1,7,80,27,Sunday,4,1.4809999999999999
45,45,2,5,110,12,Sunday,4,4.624699999999999
46,46,3,4,60,22,Sunday,4,1.3640000000000003
47,47,3,10,120,36,Sunday,4,1.6855999999999998
48,48,4,5,110,21,Sunday,4,2.6189999999999998
49,49,4,6,120,38,Sunday,4,1.5886000000000002
50,50,5,8,100,24,Sunday,4,2.0747
51,51,5,12,60,17,Sunday,4,1.7650000000000001
52,52,6,7,100,31,Sunday,4,1.613
53,53,7,9,140,34,Sunday,4,2.0475000000000003
54,54,8,9,100,15,Sunday,4,3.3329999999999993
55,55,9,11,120,17,Sunday,4,3.5004000000000004
56,56,9,13,140,33,Sunday,4,2.1277
57,57,10,11,100,22,Sunday,4,2.273
58,58,10,13,50,8,Sunday,4,3.125
59,59,11,12,110,32,Sunday,4,1.7401
60,60,0,1,70,14,Sunday,6,2.5
61,61,0,2,130,34,Sunday,6,1.9119999999999997
62,62,0,3,140,26,Sunday,6,2.6536
63,63,1,2,110,40,Sunday,6,1.375
64,64,1,7,120,22,Sunday,6,2.7282
65,65,2,5,90,18,Sunday,6,2.4868
66,66,3,4,90,32,Sunday,6,1.4124
67,67,3,10,90,34,Sunday,6,1.3538
68,68,4,5,60,20,Sunday,6,1.5
69,69,4,6,80,19,Sunday,6,2.105
70,70,5,8,70,16,Sunday,6,2.1879999999999997
71,71,5,12,70,25,Sunday,6,1.4000000000000001
72,72,6,7,110,18,Sunday,6,3.0739000000000005
73,73,7,9,80,20,Sunday,6,2.0
74,74,8,9,140,14,Sunday,6,5.0
75,75,9,11,80,28,Sunday,6,1.429
76,76,9,13,50,10,Sunday,6,2.5
77,77,10,11,50,15,Sunday,6,1.6669999999999998
78,78,10,13,50,11,Sunday,6,2.273
79,79,11,12,70,25,Sunday,6,1.4000000000000001
80,80,0,1,100,22,Sunday,8,2.273
81,81,0,2,70,27,Sunday,8,1.2959999999999998
82,82,0,3,120,30,Sunday,8,1.9900999999999995
83,83,1,2,90,21,Sunday,8,2.1430000000000002
84,84,1,7,50,7,Sunday,8,3.571
85,85,2,5,50,18,Sunday,8,1.3889999999999998
86,86,3,4,50,16,Sunday,8,1.5619999999999998
87,87,3,10,100,38,Sunday,8,1.3239
88,88,4,5,120,40,Sunday,8,1.5247
89,89,4,6,100,10,Sunday,8,4.8180000000000005
90,90,5,8,60,6,Sunday,8,4.9167000000000005
91,91,5,12,140,28,Sunday,8,2.4926000000000004
92,92,6,7,120,36,Sunday,8,1.6808999999999998
93,93,7,9,120,26,Sunday,8,2.2887
94,94,8,9,110,43,Sunday,8,1.2929000000000002
95,95,9,11,70,21,Sunday,8,1.6669999999999998
96,96,9,13,140,32,Sunday,8,2.1958
