,ID,EP1,EP2,Bandwidth,PacketsFlowing(1Kb),DayOfTheWeek,TimeHour,LinkWeight
0,0,0,1,140,30,Sunday,0,2.333
1,1,0,2,100,35,Sunday,0,1.429
2,2,0,3,130,14,Sunday,0,4.643
3,3,1,2,120,27,Sunday,0,2.222
4,4,1,7,50,19,Sunday,0,1.316
5,5,2,5,70,10,Sunday,0,3.500
6,6,3,4,100,25,Sunday,0,2.000
7,7,3,10,80,20,Sunday,0,2.000
8,8,4,5,130,19,Sunday,0,3.421
9,9,4,6,140,29,Sunday,0,2.414
10,10,5,8,50,16,Sunday,0,1.562
11,11,5,12,80,21,Sunday,0,1.905
12,12,6,7,90,14,Sunday,0,3.214
13,13,7,9,110,21,Sunday,0,2.619
14,14,8,9,60,10,Sunday,0,3.000
15,15,9,11,140,53,Sunday,0,1.321
16,16,9,13,120,20,Sunday,0,3.000
17,17,10,11,70,7,Sunday,0,5.000
18,18,10,13,50,8,Sunday,0,3.125
19,19,11,12,80,13,Sunday,0,3.077
20,20,0,1,70,16,Sunday,2,2.188
21,21,0,2,100,16,Sunday,2,3.125
22,22,0,3,130,26,Sunday,2,2.500
23,23,1,2,70,13,Sunday,2,2.692
24,24,1,7,110,30,Sunday,2,1.833
25,25,2,5,50,10,Sunday,2,2.500
26,26,3,4,110,21,Sunday,2,2.619
27,27,3,10,70,15,Sunday,2,2.333
28,28,4,5,60,16,Sunday,2,1.875
29,29,4,6,90,35,Sunday,2,1.286
30,30,5,8,140,51,Sunday,2,1.373
31,31,5,12,50,14,Sunday,2,1.786
32,32,6,7,100,12,Sunday,2,4.167
33,33,7,9,90,20,Sunday,2,2.250
34,34,8,9,90,24,Sunday,2,1.875
35,35,9,11,100,15,Sunday,2,3.333
36,36,9,13,120,42,Sunday,2,1.429
37,37,10,11,70,8,Sunday,2,4.375
38,38,10,13,90,9,Sunday,2,5.000
39,39,11,12,100,37,Sunday,2,1.351
40,40,0,1,110,12,Sunday,4,4.583
41,41,0,2,130,39,Sunday,4,1.667
